Account,Currency,Cuurency amount,Rate,Amount,Department,Cost center,Purpose
11110001,JPY,77077477,100,77077477,,,
11110002,USD,524247.15,10632.9999,55743199,,,
1151,JPY,-65520920,100,-65520920,,,
1171,JPY,1130000,100,1130000,,,
11720002,JPY,44102897,100,44102897,,,
11910004,JPY,50817348,100,50817348,,,
11910004,USD,980320.4,10633,104237468,,,
1192,JPY,-8229793,100,-8229793,,,
1701,JPY,825700,100,825700,,,
2101,USD,-7700000,10633,-818741000,,,
213100020001,JPY,-16964771,100,-16964771,,,
213100020002,JPY,-14167116,100,-14167116,,,
213100020003,JPY,-3927880,100,-3927880,,,
213100020004,JPY,-921200,100,-921200,,,
214100010001,JPY,37718315,100,37718315,,,
214100010002,JPY,-12732013,100,-12732013,,,
216100020008,JPY,-17930076,100,-17930076,,,
216100020020,JPY,-249400,100,-249400,,,
21710001,JPY,-77377358,100,-77377358,,,
2181,JPY,-121608824,100,-121608824,,,
2181,USD,-167512.7,10632.9998,-17811625,,,
21910002,JPY,-548138898,100,-548138898,,,
3101,JPY,-10000,100,-10000,,,
3111,JPY,-2165872651,100,-2165872651,,,
3301,JPY,515054408,100,515054408,,,
2102,JPY,-3108664,100,-3108664,,,
